cell,arm,dock,period,phase,nav,outcome,n_meas,meas_err_rms_cm,track_err_rms_cm,vel_ratio,vel_corr,veh_over_dock,gap_frac,max_est_err_cm,n_gaps_gt1s
clamped_static_sway_p6_ph2.094,static,sway,6.0,2.094,,DOCKED,290,0.84,6.5,0.0,nan,1.01,0.08,19.6,1
clamped_static_sway_p6_ph4.189,static,sway,6.0,4.189,,DOCKED,716,0.24,8.66,0.0,nan,0.96,0.08,19.8,5
clamped_static_sway_p8_ph0.0,static,sway,8.0,0.0,,DOCKED,204,0.33,3.05,0.0,nan,0.87,0.0,9.5,0
clamped_static_sway_p8_ph2.094,static,sway,8.0,2.094,,DOCKED,200,0.19,6.21,0.0,nan,1.29,0.26,19.9,3
clamped_static_sway_p8_ph4.189,static,sway,8.0,4.189,,DOCKED,238,0.33,7.97,0.0,nan,0.99,0.1,18.9,1
clamped_sway_sway_p10_ph0.0,sway,sway,10.0,0.0,,DOCKED,421,0.16,0.5,1.03,0.96,1.39,0.03,5.4,1
clamped_sway_sway_p10_ph2.094,sway,sway,10.0,2.094,,DOCKED,816,0.16,3.58,1.06,0.94,1.46,0.18,61.4,4
clamped_sway_sway_p10_ph4.189,sway,sway,10.0,4.189,,DOCKED,452,0.27,0.37,1.05,0.96,1.41,0.01,1.9,0
clamped_sway_sway_p12_ph0.0,sway,sway,12.0,0.0,,DOCKED,375,0.24,0.38,1.06,0.94,1.25,0.03,3.3,1
clamped_sway_sway_p12_ph2.094,sway,sway,12.0,2.094,,DOCKED,373,0.21,0.51,1.05,0.95,1.11,0.06,3.9,1
clamped_sway_sway_p12_ph4.189,sway,sway,12.0,4.189,,DOCKED,399,0.27,0.37,1.05,0.95,1.24,0.0,2.6,0
clamped_sway_sway_p16_ph0.0,sway,sway,16.0,0.0,,DOCKED,328,0.25,0.29,1.09,0.94,1.2,0.0,2.3,0
clamped_sway_sway_p16_ph2.094,sway,sway,16.0,2.094,,DOCKED,356,0.2,0.59,1.09,0.93,1.23,0.06,5.5,1
clamped_sway_sway_p16_ph4.189,sway,sway,16.0,4.189,,DOCKED,373,0.28,0.35,1.12,0.92,1.16,0.0,2.9,0
clamped_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,DOCKED,259,0.2,0.2,1.08,0.94,1.12,0.0,1.3,0
clamped_sway_sway_p20_ph2.094,sway,sway,20.0,2.094,,DOCKED,246,0.29,0.3,1.03,0.94,0.97,0.0,2.0,0
