bag,level,seed,arm,vel_err_rms_m_s,vel_err_slow_rms_m_s,vel_err_fast_rms_m_s,vel_amp_ratio,vel_err_corr_bias,bias_rms_m_s,rel_pos_err_rms_cm,accepted_frac,stale_frac
clamped_sway_sway_p8_ph4.189_20260725_064843,low,2,C,0.025446600633303017,0.016997853485522383,0.01741902627279577,1.0781863357201533,0.4565287218721931,0.009392826544465709,3.188099323990263,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,0,B,0.048633059593679945,0.025683584842159355,0.039648791810452735,1.1827691529599558,0.5977652640733684,0.018396351897198786,3.923790998251343,0.9755600814663951,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,0,C,0.030601279127553793,0.023174921968037842,0.017449330380557668,1.0602757947348138,0.7586834881450324,0.018396351897198786,3.2207573933507634,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,1,B,0.05005350647238133,0.031160344736944536,0.03803816209917916,1.2827557105682625,0.5964111146780763,0.02543438875269756,3.777934884036255,0.9735234215885947,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,1,C,0.0334725604402223,0.027808457083391882,0.0166546564513338,1.088659787191049,0.7200658361740291,0.02543438875269756,3.1683976077942244,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,2,B,0.05821512003305471,0.037024590379424925,0.043207776767639997,1.3861369771436407,0.6667765205927229,0.02817847963339707,3.8137114703576107,0.9816700610997964,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,medium,2,C,0.03700278546348661,0.03155725295469282,0.017538009102342492,1.1678962430885602,0.8220820420076547,0.02817847963339707,3.1660030573259093,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,high,0,B,0.07141239017328088,0.056555487258570486,0.03903846206650401,1.3920577455856198,0.8932103847694869,0.06132117299066266,3.9949530748832127,0.9755600814663951,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,high,0,C,0.06372379989306258,0.05795963590830488,0.018959904752704235,1.3486660989048467,0.9283172488692085,0.06132117299066266,3.312472057284837,0.9877800407331976,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,high,1,B,0.08388665554177083,0.07421015089492466,0.036434438095344406,1.4407758729036806,0.8882682231549749,0.08478129584232542,3.6764910260187267,0.9796334012219959,0.029083858458555503
