cell,arm,period,mode,t_start,t_end,dock_amp,veh_amp,ratio,veh_phase_deg,dock_vel_amp,est_vel_amp,est_vel_corr,veh_vel_amp,cmd_amp,ff_share,plant_gain,plant_gain_broadband,plant_lag_s,fit_period
clamped_sway_sway_p8_ph4.189,sway,8.0,COARSE (ALT_HOLD),2.4,19.1,0.1,0.106,1.061,1.365,0.079,0.077,0.938,0.11,0.018,0.046,4.311,2.096,0.665,8.0
clamped_sway_sway_p8_ph4.189,sway,8.0,FINE (STABILIZE),19.1,61.9,0.1,0.17,1.709,342.17,0.078,0.081,0.961,0.141,0.027,0.049,4.936,3.263,0.532,8.0
overnight_static_sway_p6_ph0.0,static,6.0,COARSE (ALT_HOLD),0.7,14.5,0.1,0.033,0.333,61.632,0.106,0.0,nan,0.071,0.009,0.0,5.19,2.663,0.703,6.0
overnight_static_sway_p6_ph2.094,static,6.0,COARSE (ALT_HOLD),1.0,13.5,0.1,0.033,0.335,62.116,0.103,0.0,nan,0.07,0.005,0.0,9.139,2.844,1.117,6.0
overnight_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),2.4,14.8,0.1,0.034,0.343,66.719,0.106,0.0,nan,0.058,0.007,0.0,5.359,2.265,0.632,6.0
overnight_sway_sway_p6_ph0.0,sway,6.0,FINE (STABILIZE),11.8,44.3,0.099,0.168,1.691,354.16,0.104,0.083,0.925,0.183,0.03,0.05,5.868,3.012,0.752,6.0
overnight_sway_sway_p6_ph2.094,sway,6.0,COARSE (ALT_HOLD),1.2,15.3,0.098,0.117,1.19,11.91,0.103,0.094,0.876,0.146,0.025,0.056,5.394,2.519,0.064,6.0
overnight_sway_sway_p6_ph2.094,sway,6.0,FINE (STABILIZE),15.3,45.6,0.1,0.165,1.652,358.073,0.105,0.079,0.904,0.183,0.026,0.048,6.558,2.898,1.351,6.0
overnight_sway_sway_p6_ph4.189,sway,6.0,FINE (STABILIZE),13.3,45.2,0.1,0.166,1.664,357.964,0.104,0.079,0.916,0.18,0.032,0.047,5.577,2.85,1.143,6.0
overnight_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),14.1,35.0,0.098,0.148,1.514,348.837,0.08,0.062,0.917,0.128,0.017,0.037,6.879,3.204,1.491,8.0
overnight_sway_sway_p8_ph4.189,sway,8.0,FINE (STABILIZE),10.4,37.8,0.099,0.155,1.569,345.269,0.078,0.067,0.954,0.132,0.01,0.04,12.441,3.119,1.332,8.0
